id,contest_id,author,creation_time_seconds,relative_time_seconds,problem_name,problem_type,programming_language,verdict,test_set,passed_test_count,time_consumed_millis,memory_consumed_bytes
253898959,1928,vjudge.7,1711695303,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,124,3174400
253843048,1928,YAGAMI___LIGHT,1711651735,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,420,10240000
253646590,1928,Ahac,1711637021,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,420,819200
253645978,1928,Ahac,1711636752,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,819200
253644393,1928,Ahac,1711635923,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,819200
253623086,1928,antoshkin,1711626689,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),OK,TESTS,10,78,1638400
253620561,1928,antoshkin,1711625621,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,2,1000,9728000
253616707,1928,fonmagnus,1711623881,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,171,10342400
253601631,1928,gun_slinger1638,1711617019,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,421,8499200
253601411,1928,gun_slinger1638,1711616930,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,9,1000,7372800
253582455,1928,Kitty05,1711607627,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,436,11878400
253576729,1928,Gautam_Gandhi,1711604359,2147483647,Equalize,PROGRAMMING,GNU C11,TIME_LIMIT_EXCEEDED,TESTS,0,1000,0
253576386,1928,Gautam_Gandhi,1711604131,2147483647,Equalize,PROGRAMMING,GNU C11,TIME_LIMIT_EXCEEDED,TESTS,0,1000,0
253575557,1928,Gautam_Gandhi,1711603576,2147483647,Equalize,PROGRAMMING,GNU C11,TIME_LIMIT_EXCEEDED,TESTS,3,1000,3174400
253566109,1928,CTGU_23_fck,1711594920,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,62,819200
253566080,1928,CTGU_23_fck,1711594883,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,62,819200
253541215,1928,YAGAMI___LIGHT,1711567240,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,467,8704000
253540003,1928,LLawliet-,1711566464,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,124,11059200
253539494,1928,LLawliet-,1711566306,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,7372800
253539388,1928,LLawliet-,1711566239,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,2,1000,7372800
253533415,1928,summersnowflake,1711563110,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),OK,TESTS,10,108,12902400
253524488,1928,summersnowflake,1711557851,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,2,1000,12902400
253501971,1928,luogu_bot5,1711546488,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,390,3174400
253492913,1928,krish_0108,1711542517,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),OK,TESTS,10,483,819200
253492844,1928,vjudge.7,1711542485,2147483647,Equalize,PROGRAMMING,C++14 (GCC 6-32),OK,TESTS,10,421,1638400
253492582,1928,krish_0108,1711542373,2147483647,Equalize,PROGRAMMING,C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,0,1000,0
253486123,1928,Ordon,1711539467,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),OK,TESTS,10,139,11878400
253483507,1928,Kr.vishal,1711538237,2147483647,Equalize,PROGRAMMING,C++20 (GCC 13-64),OK,TESTS,10,390,3174400
